Annee;PIBt;FBCt;DNBt;DCFMt;DCFAPt;AVAt;RIBt
1960;1,30611E+12;1,44896E+11;1,35542E+12;8,97138E+11;2,55974E+11;3,00952E+11;1,42333E+12
1961;1,34521E+12;1,68314E+11;1,40874E+12;9,14812E+11;2,42636E+11;2,5786E+11;1,47558E+12
1962;1,34338E+12;1,37578E+11;1,38462E+12;9,24564E+11;2,36284E+11;2,87196E+11;1,44694E+12
1963;1,36842E+12;1,88072E+11;1,50583E+12;9,84901E+11;2,47082E+11;3,17126E+11;1,49483E+12
1964;1,42157E+12;2,04172E+11;1,57402E+12;1,01903E+12;2,55339E+11;3,24416E+11;1,55068E+12
1965;1,44051E+12;2,06367E+11;1,52259E+12;9,80025E+11;2,59785E+11;3,47902E+11;1,53949E+12
1966;1,48195E+12;1,75331E+11;1,54572E+12;1,0128E+12;2,72601E+11;3,11069E+11;1,55858E+12
1967;1,46387E+12;1,90553E+11;1,57511E+12;1,0211E+12;2,75642E+11;3,39126E+11;1,5356E+12
1968;1,55596E+12;2,04287E+11;1,60953E+12;1,0581E+12;2,45232E+11;3,40708E+11;1,49665E+12
1969;1,45398E+12;2,14113E+11;1,46596E+12;9,46231E+11;2,12867E+11;3,47327E+11;1,3593E+12
1970;1,57847E+12;2,60088E+11;1,60235E+12;1,01411E+12;2,34589E+11;3,67326E+11;1,54245E+12
1971;1,57625E+12;2,7383E+11;1,64188E+12;1,023E+12;2,45232E+11;3,06752E+11;1,542E+12
1972;1,67687E+12;3,20844E+11;1,67876E+12;1,01498E+12;2,42191E+11;3,79844E+11;1,62923E+12
1973;1,58325E+12;3,00833E+11;1,64614E+12;1,00901E+12;2,41322E+11;3,18695E+11;1,52278E+12
1974;1,64975E+12;3,08661E+11;1,69208E+12;1,04179E+12;2,59785E+11;3,92361E+11;1,63922E+12
1975;1,77407E+12;3,23217E+11;1,81695E+12;1,13355E+12;2,64129E+11;4,08907E+11;1,75658E+12
1976;1,93233E+12;3,03105E+11;1,95444E+12;1,2495E+12;2,99318E+11;4,68474E+11;1,85265E+12
1977;1,88049E+12;2,80883E+11;1,96162E+12;1,25955E+12;3,07572E+11;4,36245E+11;1,85388E+12
1978;1,80614E+12;2,62222E+11;1,98295E+12;1,27252E+12;3,50797E+11;3,33226E+11;1,8031E+12
1979;1,9326E+12;2,6654E+11;2,05194E+12;1,34957E+12;3,58993E+11;4,23689E+11;1,90791E+12
1980;1,86861E+12;3,30851E+11;2,06994E+12;1,37259E+12;3,66496E+11;3,4672E+11;1,8268E+12
1981;1,96334E+12;4,89619E+11;2,21928E+12;1,34802E+12;3,81639E+11;3,98777E+11;1,89608E+12
1982;2,11733E+12;3,5385E+11;2,21484E+12;1,49172E+12;3,6927E+11;4,33186E+11;1,97702E+12
1983;2,00455E+12;2,5036E+11;2,08283E+12;1,47255E+12;3,59915E+11;3,26788E+11;1,81469E+12
1984;2,07964E+12;3,63045E+11;2,25394E+12;1,53807E+12;3,5283E+11;3,63767E+11;1,98294E+12
1985;2,14792E+12;5,0368E+11;2,39878E+12;1,54787E+12;3,47236E+11;4,28371E+11;2,15072E+12
1986;2,2148E+12;4,06455E+11;2,47749E+12;1,71657E+12;3,5447E+11;4,48869E+11;2,25597E+12
1987;2,34977E+12;4,45569E+11;2,59613E+12;1,78E+12;3,70553E+11;4,74027E+11;2,37429E+12
1988;2,33585E+12;3,78809E+11;2,59276E+12;1,83704E+12;3,76908E+11;4,00391E+11;2,38374E+12
1989;2,42877E+12;3,0097E+11;2,57898E+12;1,89542E+12;3,82591E+11;4,55224E+11;2,40477E+12
1990;2,41236E+12;3,82392E+11;2,65755E+12;1,8899E+12;3,85252E+11;4,12072E+11;2,46824E+12
1991;2,47401E+12;4,37375E+11;2,7488E+12;1,93183E+12;3,79597E+11;4,37056E+11;2,52489E+12
1992;2,50476E+12;4,63905E+11;2,82723E+12;1,98282E+12;3,80497E+11;4,10927E+11;2,57582E+12
1993;2,53734E+12;4,37922E+11;2,89928E+12;2,08596E+12;3,75399E+11;4,42881E+11;2,6129E+12
1994;2,5369E+12;2,58879E+11;2,61376E+12;1,99329E+12;3,61598E+11;4,42261E+11;2,4431E+12
1995;2,67297E+12;3,36464E+11;2,75664E+12;2,05568E+12;3,64494E+11;4,83676E+11;2,596E+12
1996;2,72675E+12;3,35017E+11;2,81735E+12;2,11014E+12;3,72199E+11;4,65877E+11;2,66537E+12
1997;2,81193E+12;4,37696E+11;2,95901E+12;2,13666E+12;3,84653E+11;4,6155E+11;2,79388E+12
1998;2,9778E+12;4,47898E+11;3,13875E+12;2,30242E+12;3,88432E+11;4,65138E+11;2,94726E+12
1999;3,16718E+12;5,66714E+11;3,38881E+12;2,39978E+12;4,22318E+11;5,28882E+11;3,16718E+12
2000;3,26811E+12;6,39787E+11;3,54292E+12;2,48015E+12;4,22988E+11;5,41585E+11;3,25808E+12
2001;3,41782E+12;6,67094E+11;3,69947E+12;2,6048E+12;4,27567E+11;5,48485E+11;3,42166E+12
2002;3,4402E+12;5,70456E+11;3,73077E+12;2,71757E+12;4,42744E+11;4,26459E+11;3,40965E+12
2003;3,67012E+12;7,30347E+11;4,03884E+12;2,85381E+12;4,54689E+11;5,02478E+11;3,62047E+12
2004;3,88558E+12;7,28333E+11;4,19457E+12;2,98611E+12;4,80132E+11;5,14459E+11;3,76741E+12
2005;4,10405E+12;8,96969E+11;4,54064E+12;3,13787E+12;5,05801E+11;5,71145E+11;3,99813E+12
2006;4,20508E+12;8,78067E+11;4,69382E+12;3,28439E+12;5,31367E+11;5,23209E+11;4,081E+12
2007;4,41274E+12;1,10154E+12;5,11839E+12;3,4469E+12;5,6994E+11;4,92875E+11;4,30954E+12
2008;4,57524E+12;1,04508E+12;5,26029E+12;3,64116E+12;5,74055E+11;5,89135E+11;4,39443E+12
2009;4,68611E+12;8,74773E+11;5,24003E+12;3,78152E+12;5,83734E+11;6,65902E+11;4,56136E+12
2010;4,88196E+12;8,28083E+11;5,28945E+12;3,8627E+12;5,9866E+11;7,04657E+11;4,68719E+12
2011;4,96794E+12;8,77487E+11;5,42206E+12;3,91269E+12;6,31882E+11;6,02749E+11;4,74327E+12
2012;5,1847E+12;1,03068E+12;5,71187E+12;4,03214E+12;6,4905E+11;6,60358E+11;4,90142E+12
2013;5,3725E+12;1,30756E+12;6,10687E+12;4,14133E+12;6,57986E+11;6,7261E+11;5,20824E+12
2014;5,62611E+12;1,33752E+12;6,31388E+12;4,28627E+12;6,90081E+11;6,96513E+11;5,45643E+12
