 Marque "Monoxide de carbone " "Goudron "
1 Alpine 13,6 14,1
2 Benson&Hedges 16,6 16
3 "BullDurham " 23,5 29,8
4 "CamelLights " 10,2 8
5 "Carlton " 5,4 4,1
6 "Chesterfield " 15 15
7 "GoldenLights " 9 8,8
8 "Kent " 12,3 12,4
9 "Kool " 16,3 16,6
10 "L&M " 15,4 14,9
11 "LarkLights " 13 13,7
12 "Marlboro " 14,4 15,1
13 "Merit " 10 7,8
14 "MultiFilter " 10,2 11,4
15 "NewportLights " 9,5 9
16 "Now " 1,5 1
17 "OldGold " 18,5 17
18 "PallMallLight " 12,6 12,8
19 "Raleigh " 17,5 15,8
20 "SalemUltra " 4,9 4,5
21 "Tareyton " 15,9 14,5
22 "True " 8,5 7,3
23 "ViceroyRichLight " 10,6 8,6
24 "VirginiaSlims " 13,9 15,2
25 "WinstonLights " 14,9 12
