date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:36	100143/100143	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:30:59%20GMT	https://www.w3schools.com/python/default.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/default.html	(from )
12:59:37	126/126	---M--	200	added ('OK')	text/plain	etag:%2201122231574d81:0%22	https://www.w3schools.com/robots.txt		(from )
12:59:38	62688/62688	---M-Z	200	added ('OK')	text/css	etag:%2201122231574d81:0%22	https://www.w3schools.com/lib/w3schools30.css	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/lib/w3schools30.css	(from https://www.w3schools.com/python/default.asp)
12:59:39	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	https://www.google-analytics.com/analytics.js	C:/Mes%20Sites%20Web/Cours%20Python/www.google-analytics.com/analytics.js	(from https://www.w3schools.com/python/default.asp)
12:59:39	73577/73577	---M-Z	200	added ('OK')	application/javascript	etag:%2201122231574d81:0%22	https://www.w3schools.com/lib/uic.js?v=1.0.3	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/lib/uic2c70.js	(from https://www.w3schools.com/python/default.asp)
12:59:39	14208/14208	---MCZ	200	added ('OK')	application/javascript	etag:W/%223780-5dfc44119ef17%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	C:/Mes%20Sites%20Web/Cours%20Python/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/python/default.asp)
12:59:40	21669/21669	---M--	200	added ('OK')	application/javascript	etag:%2201122231574d81:0%22	https://www.w3schools.com/lib/my-learning.js?v=1.0.9	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/lib/my-learning21cd.js	(from https://www.w3schools.com/python/default.asp)
12:59:40	95229/95229	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:29%20GMT	https://www.w3schools.com/python/python_ml_getting_started.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_ml_getting_started.html	(from https://www.w3schools.com/python/default.asp)
12:59:41	83462/83462	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:36:00%20GMT	https://www.w3schools.com/python/numpy/default.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/numpy/default.html	(from https://www.w3schools.com/python/default.asp)
12:59:42	81864/81864	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:21%20GMT	https://www.w3schools.com/python/pandas/default.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/pandas/default.html	(from https://www.w3schools.com/python/default.asp)
